Actor1,Actor2,Actor3,Actor4
Elya Baskin	Christian Slater	Brad Renfro	James Doohan
Bill Skarsgard	Sophia Lillis	Robin Wright	Sophia Lillis
Elya Baskin	Christian Slater	Brad Renfro	James Doohan
John Cusack	Mary McCormack	Tony Shalhoub	Tony Shalhoub
Scarlett Johansson	Chris Evans	Scarlett Johansson	Chris Evans
Robert Downey Jr.	Marisa Tomei	Marisa Tomei	Robert Downey Jr.
Elya Baskin	Christian Slater	Brad Renfro	James Doohan
Actor1,Actor2,Actor3,Actor4
Morgan Freeman	Morgan Freeman	Morgan Freeman	Morgan Freeman
Jessica Chastain	Jessica Chastain	Jessica Chastain	Viola Davis
Nicholas Hoult	Charlize Theron	Nicholas Hoult	James McAvoy
Robert Downey Jr.	Robert Downey Jr.	Robert Downey Jr.	Scarlett Johansson
Chris Evans	Chris Evans	Mark Ruffalo	Mark Ruffalo
Jon Bernthal	Rui Morisson	Catarina Wallenstein	Richard Armitage
Dan Fogler	Billy Crudup	Johnny Depp	Eddie Redmayne
Actor1,Actor2,Actor3,Actor4
Elya Baskin	Christian Slater	Brad Renfro	James Doohan
Bill Skarsgard	Sophia Lillis	Robin Wright	Sophia Lillis
Elya Baskin	Christian Slater	Brad Renfro	James Doohan
John Cusack	Mary McCormack	Tony Shalhoub	Tony Shalhoub
Scarlett Johansson	Chris Evans	Scarlett Johansson	Chris Evans
Robert Downey Jr.	Marisa Tomei	Marisa Tomei	Robert Downey Jr.
Elya Baskin	Christian Slater	Brad Renfro	James Doohan
